Mnemonic,Long Name,Issuer Name,Security Type,Ticker
IPLT,ISHARES PHYSICAL PLATINUM ETC,ISHARES PHYSICAL METALS PLC,SP,IPLT.L
ISLN,ISHARES PHYSICAL SILVER ETC,ISHARES PHYSICAL METALS PLC,SP,ISLN.L
IGLN,ISHARES PHYSICAL GOLD ETC,ISHARES PHYSICAL METALS PLC,SP,IGLN.L
SGLS,INVESCO PHYSICAL GOLD GBP HEDGED ETC,INVESCO PHYSICAL MARKETS PLC,SP,SGLS.L
SGLD,INVESCO PHYSICAL GOLD ETC,INVESCO PHYSICAL MARKETS PLC,SP,SGLD.L
IPDM,ISHARES PHYSICAL PALLADIUM ETC,ISHARES PHYSICAL METALS PLC,SP,IPDM.L
SPAL,INVESCO PHYSICAL PALLADIUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPAL.L
SPPT,INVESCO PHYSICAL PLATINUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPPT.L
SSLV,INVESCO PHYSICAL SILVER ETC,INVESCO PHYSICAL MARKETS PLC,SP,SSLV.L
RMAU,THE ROYAL MINT PHYSICAL GOLD ETC SEC,HANETF ETC SECURITIES PLC,SP,RMAU.L
3LVO,GRANITESHARES 3X LONG VOD DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LVO.L
3SVO,GRANITESHARES 3X SHORT VOD DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SVO.L
3LGL,GRANITESHARES 3X LONG GLENCORE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LGL.L
3SGL,GRANITESHARES 3X SHORT GLENCORE DAILYETP,GRANITESHARES FINANCIAL PLC,SP,3SGL.L
3LBP,GRANITESHARES 3X LONG BP DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LBP.L
3SBP,GRANITESHARES 3X SHORT BP DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SBP.L
3LLL,GRANITESHARES 3X LONG LLOYDS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LLL.L
3SLL,GRANITESHARES 3XS LLOYDS B DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SLL.L
3LAZ,GRANITESHARES 3XL ASTRAZENECA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LAZ.L
3SAZ,GRANITESHARES 3XS ASTRAZENECA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SAZ.L
3LDO,GRANITESHARES 3X LONG DIAGEO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LDO.L
3SDO,GRANITESHARES 3X SHORT DIAGEO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SDO.L
3LBA,GRANITESHARES 3XL BAE SYSTEMS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LBA.L
3SBA,GRANITESHARES 3XS BAE SYSTEMS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SBA.L
3LRI,GRANITESHARES 3XL RIO TINTO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LRI.L
3SRI,GRANITESHARES 3XS RIO TINTO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SRI.L
3LBC,GRANITESHARES 3XL BARCLAYS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LBC.L
3SBC,GRANITESHARES 3XS BARCLAYS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SBC.L
3LRD,GRANITESHARES 3X LONG SHELL-A DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LRD.L
