Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class,Geography
IPLT,ISHARES PHYSICAL PLATINUM ETC,ISHARES PHYSICAL METALS PLC,SP,IPLT.L,Alternatives,Global
ISLN,ISHARES PHYSICAL SILVER ETC,ISHARES PHYSICAL METALS PLC,SP,ISLN.L,Alternatives,Global
IGLN,ISHARES PHYSICAL GOLD ETC,ISHARES PHYSICAL METALS PLC,SP,IGLN.L,Alternatives,Global
SGLS,INVESCO PHYSICAL GOLD GBP HEDGED ETC,INVESCO PHYSICAL MARKETS PLC,SP,SGLS.L,Alternatives,UK
SGLD,INVESCO PHYSICAL GOLD ETC,INVESCO PHYSICAL MARKETS PLC,SP,SGLD.L,Alternatives,Global
IPDM,ISHARES PHYSICAL PALLADIUM ETC,ISHARES PHYSICAL METALS PLC,SP,IPDM.L,Alternatives,Global
SPAL,INVESCO PHYSICAL PALLADIUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPAL.L,Alternatives,Global
SPPT,INVESCO PHYSICAL PLATINUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPPT.L,Alternatives,Global
SSLV,INVESCO PHYSICAL SILVER ETC,INVESCO PHYSICAL MARKETS PLC,SP,SSLV.L,Alternatives,Global
RMAU,THE ROYAL MINT PHYSICAL GOLD ETC SEC,HANETF ETC SECURITIES PLC,SP,RMAU.L,Alternatives,Global
3LVO,GRANITESHARES 3X LONG VOD DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LVO.L,Alternatives,Global
3SVO,GRANITESHARES 3X SHORT VOD DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SVO.L,Alternatives,Global
3LGL,GRANITESHARES 3X LONG GLENCORE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LGL.L,Alternatives,Global
3SGL,GRANITESHARES 3X SHORT GLENCORE DAILYETP,GRANITESHARES FINANCIAL PLC,SP,3SGL.L,Alternatives,Global
3LBP,GRANITESHARES 3X LONG BP DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LBP.L,Alternatives,Global
3SBP,GRANITESHARES 3X SHORT BP DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SBP.L,Alternatives,Global
3LLL,GRANITESHARES 3X LONG LLOYDS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LLL.L,Alternatives,Global
3SLL,GRANITESHARES 3XS LLOYDS B DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SLL.L,Alternatives,Global
3LAZ,GRANITESHARES 3XL ASTRAZENECA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LAZ.L,Alternatives,Global
3SAZ,GRANITESHARES 3XS ASTRAZENECA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SAZ.L,Alternatives,Global
3LDO,GRANITESHARES 3X LONG DIAGEO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LDO.L,Alternatives,Global
3SDO,GRANITESHARES 3X SHORT DIAGEO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SDO.L,Alternatives,Global
3LBA,GRANITESHARES 3XL BAE SYSTEMS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LBA.L,Alternatives,Global
3SBA,GRANITESHARES 3XS BAE SYSTEMS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SBA.L,Alternatives,Global
3LRI,GRANITESHARES 3XL RIO TINTO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LRI.L,Alternatives,Global
3SRI,GRANITESHARES 3XS RIO TINTO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SRI.L,Alternatives,Global
3LBC,GRANITESHARES 3XL BARCLAYS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LBC.L,Alternatives,Global
3SBC,GRANITESHARES 3XS BARCLAYS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SBC.L,Alternatives,Global
3LRD,GRANITESHARES 3X LONG SHELL-A DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LRD.L,Alternatives,Global
3SRD,GRANITESHARES 3X SHORT SHELL-A DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SRD.L,Alternatives,Global
3LRR,GRANITESHARES 3XL ROLLS-ROYCE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LRR.L,Alternatives,Global
3SRR,GRANITESHARES 3XS ROLLS-ROYCE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SRR.L,Alternatives,Global
3LAL,GRANITESHARES 3X LONG ALPHABET DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LAL.L,Alternatives,Global
3SAL,GRANITESHARES 3XSHORT ALPHABET DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SAL.L,Alternatives,Global
3LZN,GRANITESHARES 3X LONG AMAZON DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LZN.L,Alternatives,Global
3SZN,GRANITESHARES 3X SHORT AMAZON DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SZN.L,Alternatives,Global
3LAP,GRANITESHARES 3X LONG APPLE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LAP.L,Alternatives,Global
3SAP,GRANITESHARES 3X SHORT APPLE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SAP.L,Alternatives,Global
3LMS,GRANITESHARES 3X LONG MSFT DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LMS.L,Alternatives,Global
3SMS,GRANITESHARES 3X SHORT MSFT DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SMS.L,Alternatives,Global
3LNF,GRANITESHARES 3X LONG NETFLIX DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LNF.L,Alternatives,Global
3SNF,GRANITESHARES 3X SHORT NETFLIX DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SNF.L,Alternatives,Global
3LFB,GRANITESHARES 3X LONG FACEBOOK DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LFB.L,Alternatives,Global
3SFB,GRANITESHARES 3X SHORT FB DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SFB.L,Alternatives,Global
3LNV,GRANITESHARES 3X LONG NVIDIA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LNV.L,Alternatives,Global
3SNV,GRANITESHARES 3X SHORT NVIDIA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SNV.L,Alternatives,Global
3LTS,GRANITESHARES 3X LONG TESLA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LTS.L,Alternatives,Global
3STS,GRANITESHARES 3X SHORT TESLA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3STS.L,Alternatives,Global
3LUB,GRANITESHARES 3X LONG UBER DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LUB.L,Alternatives,Global
3SUB,GRANITESHARES 3X SHORT UBER DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SUB.L,Alternatives,Global
SPLT,ISHARES PHYSICAL PLATINUM ETC,ISHARES PHYSICAL METALS PLC,SP,SPLT.L,Alternatives,Global
SSLN,ISHARES PHYSICAL SILVER ETC,ISHARES PHYSICAL METALS PLC,SP,SSLN.L,Alternatives,Global
SGLN,ISHARES PHYSICAL GOLD ETC,ISHARES PHYSICAL METALS PLC,SP,SGLN.L,Alternatives,Global
SPDM,ISHARES PHYSICAL PALLADIUM ETC,ISHARES PHYSICAL METALS PLC,SP,SPDM.L,Alternatives,Global
SGLP,INVESCO PHYSICAL GOLD ETC,INVESCO PHYSICAL MARKETS PLC,SP,SGLP.L,Alternatives,Global
SPAP,INVESCO PHYSICAL PALLADIUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPAP.L,Alternatives,Global
SPPP,INVESCO PHYSICAL PLATINUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPPP.L,Alternatives,Global
SLVP,INVESCO PHYSICAL SILVER ETC,INVESCO PHYSICAL MARKETS PLC,SP,SLVP.L,Alternatives,Global
RMAP,THE ROYAL MINT PHYSICAL GOLD ETC SEC,HANETF ETC SECURITIES PLC,SP,RMAP.L,Alternatives,Global
EGLN,ISHARES PHYSICAL GOLD ETC,ISHARES PHYSICAL METALS PLC,SP,EGLN.L,Alternatives,Global
AGAP,WISDOMTREE AGRICULTURE £,WISDOMTREE COMMODITY SECURITIES LTD,SP,AGAP.L,Alternatives,Global
AGCP,WISDOMTREE BROAD COMMODITIES,WISDOMTREE COMMODITY SECURITIES LTD,SP,AGCP.L,Alternatives,Global
AGGP,WISDOMTREE GRAINS,WISDOMTREE COMMODITY SECURITIES LTD,SP,AGGP.L,Alternatives,Global
NGSP,WISDOMTREE NATURAL GAS £,WISDOMTREE COMMODITY SECURITIES LTD,SP,NGSP.L,Alternatives,Global
BULP,WISDOMTREE GOLD £,WISDOMTREE COMMODITY SECURITIES LTD,SP,BULP.L,Alternatives,Global
PHGP,WISDOMTREE PHYSICAL GOLD £,WISDOMTREE METAL SECURITIES ,SP,PHGP.L,Alternatives,Global
PHSP,WISDOMTREE PHYSICAL SILVER £,WISDOMTREE METAL SECURITIES ,SP,PHSP.L,Alternatives,Global
PHPP,WISDOMTREE PHYSICAL PRECIOUS METALS £,WISDOMTREE METAL SECURITIES ,SP,PHPP.L,Alternatives,US
GBSS,GOLD BULLION SECURITIES,GOLD BULLION SECURITIES LD,SP,GBSS.L,Alternatives,Global
3LGS,WISDOMTREE NATURAL GAS 3X DAILY SHORT,WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LGS.L,Alternatives,Global
2CIT,LEVERAGE SHARES 2X CITIGROUP ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2CIT.L,Alternatives,Global
2FB,LEVERAGE SHARES 2X FACEBOOK ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2FB.L,Alternatives,Global
2GS,LEVERAGE SHARES 2X GOLDMAN SACHS ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2GS.L,Alternatives,Global
2GOO,LEVERAGE SHARES 2X ALPHABET ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2GOO.L,Alternatives,Global
2AMZ,LEVERAGE SHARES 2X AMAZON ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2AMZ.L,Alternatives,Global
2AAP,LEVERAGE SHARES 2X APPLE ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2AAP.L,Alternatives,Global
2JPM,LEVERAGE SHARES 2X JPMORGAN ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2JPM.L,Alternatives,Global
2MSF,LEVERAGE SHARES 2X MICROSOFT ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2MSF.L,Alternatives,Global
2VIS,LEVERAGE SHARES 2X VISA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2VIS.L,Alternatives,Global
2NFL,LEVERAGE SHARES 2X NETFLIX ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2NFL.L,Alternatives,Global
2NVD,LEVERAGE SHARES 2X NVIDIA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2NVD.L,Alternatives,Global
2CRM,LEVERAGE SHARES 2X SALESFORCE.COM ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2CRM.L,Alternatives,Global
3SSI,WISDOMTREE SILVER 3X DAILY SHORT (£),WISDOMTREE MULTI ASSET ISSUER PLC,SP,3SSI.L,Alternatives,Global
3LSI,WISDOMTREE SILVER 3X DAILY LEVERAGED (£),WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LSI.L,Alternatives,Global
